location_name,street_address,city,latitude,longitude
Business Planning Service,120 Old Route 322,Spring Mills,40.763563,-77.614248
Butler Cemetery,Black Moshannon Road,North Philipsburg,40.902919,-78.208104
Butler Chiropractic,751 E Bishop St,Bellefonte,40.913602,-77.764973
Butler Machine Inc,236 S Potter St,Bellefonte,40.907966,-77.785674
C G Auto Repair,116 N Thomas St,Bellefonte,40.912367,-77.782644
C J Banks,2901 E College Ave Ste 814,State College,40.833379,-77.799597
C&j Auto Service,498 Meckley Rd,Pine Grove Mills,40.74269,-77.875677
C3 Sports,200 Ellis Pl,State College,40.843405,-77.799773
Cafe 210 West,210 W College Ave,State College,40.793159,-77.862875
Cafe Alina,421 E Calder Way,State College,40.797974,-77.855899
Cafe Wow,234 E College Ave Ste C,State College,40.795866,-77.859124
Cairn Crossing,104 Gas Light Cir,Lemont,40.81024,-77.820077
California Tanning Express,328 E Calder Way,State College,40.796716,-77.857356
Calvary Baptist,1250 University Dr,State College,40.792554,-77.840652
Calvary Baptist Church,201 Harvest Fields Dr,Boalsburg,40.77197,-77.771417
Calvary Bible Church,600 N Pennsylvania Ave,Centre Hall,40.84553,-77.713533
Calvary Church,150 Harvest Fields Dr,Boalsburg,40.773998,-77.772276
Calvary Midtown,130 W College Ave,State College,40.793568,-77.86206
Calvary Penns Valley,117 Penn St,Millheim,40.889687,-77.476149
Cameron Bakeries,109 N Front St,Philipsburg,40.896359,-78.223226
Campbell & Pine PC,110 S School St,Bellefonte,40.914825,-77.761992
Cancer Care Partnership,1800 E Park Ave,State College,40.819028,-77.843451
Canyon Pizza,219 E Beaver Ave,State College,40.794944,-77.858524
Canyon Wings,219 E Beaver Ave,State College,40.794939,-77.858531
Capperella Automotive,520 Old 220 Rd,Bellefonte,40.946261,-77.777927
Capperella Furniture,660 Pleasant View Blvd,Bellefonte,40.923016,-77.780268
CAR Centre,2903 Penns Valley Pike,Centre Hall,40.835487,-77.672267
Care For People,121 N Allegheny St,Bellefonte,40.912746,-77.778393
CareSite Pharmacy,132 Abigail Ln,Port Matilda,40.814587,-77.941847
Careworks Urgent Care,1630 N Atherton St,Park Forest Village,40.806868,-77.893786
Careworks Urgent Care,174 Buckaroo Ln,Bellefonte,40.913144,-77.738342
Carlin Fred H OD,428 Windmere Dr,State College,40.787452,-77.825456
Carnegie Dr Tot Lot,3164 Carnegie Dr,State College,40.811891,-77.929532
Carnegie Inn & Spa an Ascend Hotel Collection Member,100 Cricklewood Dr,Toftrees,40.824263,-77.892189
Carnicella & Associates,212 Kenlee Dr,Bellefonte,40.898597,-77.787778
Carousel Farm,Brush Valley Rd,State College,40.795107,-77.799029
Carpet One Floor & Home,2633 E College Ave,State College,40.828982,-77.806851
CARQUEST Auto Parts,2929 Stewart Dr Ste 201,State College,40.830517,-77.797767
CARQUEST Auto Parts,226 N Pennsylvania Ave,Centre Hall,40.847625,-77.686408
CARQUEST Auto Parts,236 E Main St,Millheim,40.895457,-77.466227
Cartridges Galore Video Games,233 Northland Ctr,Park Forest Village,40.802559,-77.88615
Carvers Deli & BBQ,1633 N Atherton St,State College,40.81036,-77.895044
Casanova Nostalga,329 Chestnut St,Munson,40.960092,-78.165434
Casteel Chiropractic,1411 N Atherton St,State College,40.805917,-77.887751
Casteel Mark B DC,109 N 3rd St,Philipsburg,40.902117,-78.226041
Catering With Style by Dan Rallis,171 Technology Dr Ste 800,Boalsburg,40.777448,-77.774409
Caterpillar,2955 Stewart Dr,State College,40.831744,-77.797743
Caterpillar,175 Progress Dr,Bellefonte,40.868465,-77.773296
Caterpillar,I 80 At Route 150n Exit 158,Howard,40.962505,-77.759624
Catholic Daughters Of The Americas,301 Rolling Ridge Dr Apt 420,State College,40.787149,-77.831071
Catholic Daughters Of The Americas,134 E Bishop St,Bellefonte,40.910929,-77.776077
Cawley Michael PHD,110 Regent Ct,State College,40.784345,-77.82254
CC Peppers,1625 N Atherton St,State College,40.81027,-77.894885
Cedar Heights Church Inc,611 University Dr Ste 1,State College,40.79913,-77.846702
Cellular One,Nittany Apartment S,State College,40.8034,-77.857479
Center Hall Potter Sewer Authority,2940 Penns Valley Pike,Centre Hall,40.83464,-77.668525
Center Line Lutheran Cemetery,Halfmoon Valley Road,Warriors Mark,40.748604,-78.077812
Central Counties Youth Center,148 Paradise Rd,Bellefonte,40.87847,-77.776263
Central Insurers Group,20 S Front St,Philipsburg,40.895182,-78.221765
Central Insurers Group,1360 N Atherton St,Park Forest Village,40.804326,-77.886193
Central Pa Institute Of Science & Techno,540 N Harrison Rd,Pleasant Gap,40.882246,-77.740866
Central Penn Vision Associates,233 N Front St Ste A,Philipsburg,40.897691,-78.22447
Central Penn Vision Associates,1363 N Atherton St,State College,40.804981,-77.886087
Central Pennsylvania Dance Workshop,101 S Fraser St,State College,40.793465,-77.862452
Central Pennsylvania Endodontics,240 S Burrowes St,State College,40.790778,-77.861651
Central Pennsylvania Institute Of Science And Technology,540 N Harrison Rd,Pleasant Gap,40.882253,-77.740755
Central Reservation,153 S Allen St,State College,40.79363,-77.860283
Centre Animal Hospital,1518 W College Ave,State College,40.780802,-77.878232
